,category,cost_type,price,sup_size,dedi_size,title,lat_num,lng_num,detail_num
208,빌라연립다세대,매매,"29,500",99.00,0.000,하이어스5차 매매. 한라대인근. 방3 화2. 태양광설치,,,1115475
209,상가점포,임대,"3,000/3,500",82,82,1층상가(옷가게)임대-연동,,,1087460
210,단독다가구,매매,"22,000",178,69.43,제주시 구좌읍 김녕리 리모델링된 농가주택 매매,,,1115799
211,빌라연립다세대,전세,"15,000",107,70.5,"(전세) 한림가온 3층 신축2년-엘리베이터, 세대별 독립창고",33.42151110221772,126.27693844619651,1100564
212,빌라연립다세대,매매,"32,000",111,84.3,정실마을 위더스빌28차 매매,33.4703523962504,126.50997613046904,1075528
213,단독다가구,매매,"38,000",407,145,"(동영상 확인하세요) 전체 리모델링된 돌담 농가주택, 가격조정 가능",,,1115803
214,아파트,매매,"75,000",110.31,84.9,노형2차아이파크아파트 매매 / 협의입주 / 내부좋음 / 11층,,,1115466
215,아파트,매매,"36,000",78,57.03,해오름아파트 매매. 최근 올리모델링. 방3 화1. 협의입주,,,1115452
216,토지임야,매매,"27,000",598,,추천-2억7천-건축용도-선흘리,,,1093870
217,아파트,전세,"25,000",112.3,82,"강력추천~!! 이미애 피부과 맞은편  ""도남 어울림 프로미스""전세 물건입니다.",,,1115743
218,아파트,매매,"66,000",130,101.86,■39B형/제주아라KCC스위첸아파트 매매■,,,1102444
219,아파트,전세,"42,000",131,106.46,제주이도한일베라체아파트 전세,33.49299831596052,126.54734298211199,1112613
220,원룸투룸쓰리룸,년월세,300/50,49.59,39.67,남건9차오피스텔,,,1111451
221,,,,,,,,,1115780
222,빌라연립다세대,매매,"25,500",88.93,67.77,"봉개동 현앤수 빌리지""분양가 이하 급매""",,,1064639
223,원룸투룸쓰리룸,년월세,200/50,39.67,39.67,!아라동최다매물!신축고급분리원룸 제대병원앞 자재굿 입지굿,,,1113470
224,빌라연립다세대,매매,"24,500",90.8,79,급매~~!!전망 좋은 월산 스페이스 매매합니다.,,,1115744
225,상가점포,임대,"1,000/1,300",42.97,36.36,시청 대학로 먹자골목 메인라인,,,1111455
226,상가점포,임대,"3,000/2,500",456.71,66.15,노형동 롯데마트 앞 무권리 김*생 김밥 옆 1층 전용20py 상가 입니다.(적극 추천),,,1114738
227,상가주택,매매,"85,000",331,181,식당1층+주택1층=8억5천-연동,,,1030729
228,아파트,매매,"100,000",139.25,115.16,노형2차아이파크아파트 매매 / 협의입주 / 내부좋음 / 고층,,,1115469
229,오피스텔,년월세,"1,000/1,000",79.32,79.32,이스타2(쓰리룸),33.481711614418145,126.48312601361414,885280
