,category,cost_type,price,sup_size,dedi_size,lat_num,lng_num,title
151,빌라연립다세대,매매,"12,500",71.38,63.49,,,"[ 이도1동 빌라 매매 (2층/ 남향/ 1억초반/ 삼성초 도보1분) ] #이도동빌라, 이도1동빌라, 시청빌라, 구제주빌라, 삼성초빌라#이도동빌라 #이도1동빌라 #이도일동빌라 #구제주빌라 #제주시청빌라 #시청빌라 #삼성초빌라 #삼성초등학교빌라 #삼성초 #이도동 #이도1동 #이도일동 #구제주 #제주시청 #시청 #제주 #제주도 #제주시 #제주빌라 #제주시빌라 #제주도빌라"
152,전원농가주택,매매,"33,000",471.0,148.7,,,#급매#납읍리 초입 노랗게 익어가는 감귤밭사이 전원주택
153,상가점포,임대,"1,500/1,800",165.3,,,,L-523이도동 전용주차장 상가&주택 임대
154,오피스텔,매매,"29,000",104.43,84.34,,,급!!롯데마트 맞은 편 아델리안/복층형/저층
155,아파트,매매,"55,000",112,84.99,,,급!!대림e편한세상1차아파트 매매/ 부분리모델링/고층
156,아파트,매매,"31,500",118,84.98,33.48500140074434,126.43299683677873,부영2차아파트 매매
157,상가점포,임대,"6,000/4,000",337.19,0.000,,,★★공항인근//신축상가 임대★★
158,아파트,년월세,"2,000/1,600",142,120.94,,,전체확장형인 중흥미리내 년세 입니다
159,빌라연립다세대,년월세,"2,000/1,600",106,85,,,지큐휴먼빌2차 년세 입니다(하나로마트 옆)
160,빌라연립다세대,매매,"27,500",121.71,73.7,33.47748232988687,126.53432816176317,아라 한성베르뜨
161,아파트,전세,"22,000",123,,33.50879658637748,126.54112175387914,태홍누리안1차 아파트 전세
162,아파트,전세,"43,000",131,106.46,33.49299831596052,126.54734298211199,제주이도한일베라체아파트 전세
163,전원농가주택,매매,"47,000",682,66.10,,,저지리 아이파크 인근 농가주택
164,토지임야,매매,"41,000",208,,33.44938775514167,126.91714474078984,"성산읍 고성리 일반상업지역 소형토지 매매,63평,대,2차선접,4.1억"
165,단독다가구,매매,"130,000",748,508.93,33.30919873788785,126.33056817820264,"제주 신화월드근접 원룸빌딩 매매 : 동광리 원룸빌딩 대지226평,룸15개,13억"
166,빌라연립다세대,전세,"20,000",86.61,62.81,33.53144804123922,126.62461078808336,신촌 고급빌라 에덴빌리지 전세 [복층형]
167,빌라연립다세대,전세,"19,500",98,79.49,33.53045007219564,126.66520904683348,"함덕 해수욕장 3분거리, 29.5평 완복층. 투자가치 최고!!"
168,아파트,년월세,"1,000/900",105.89,65.90,33.55644192818369,126.7548370132421,김녕 센트럴시티 에덴 7층아파트 - 32평형
169,원룸투룸쓰리룸,년월세,200/600,,,,,투룸임대(까리따스 유치원 뒷쪽)
170,빌라연립다세대,매매,"17,500",121.28,101.4,33.517133907500614,126.54096149187494,사라봉인근 빌라 5층
171,오피스텔,년월세,0/0,,,,,노
172,아파트,매매,"7,449",108.7050,84.47,33.32633063048785,126.27060288485883,곶자왈 아이파크 3층 분양권 전매(무피)
173,아파트,매매,0,152,120.36,33.497642949004785,126.5222666916929,도남e-편한세상2차 아파트 매매
174,원룸투룸쓰리룸,년월세,100/600,,25,,,한라대인근 투룸
175,원룸투룸쓰리룸,년월세,300/700,,,33.48015979811708,126.47429561756826,노형중인근 투룸 년세
176,토지임야,매매,"73,000",349,,,,아라아이파크 서쪽 아라지구 105py 토지(대) / 8m도로접
177,빌라연립다세대,매매,"25,000",84.74,68.18,33.46518100358821,126.35831667961223,★ 신엄리 애월렉스 단지형빌라 4층 매매
178,토지임야,매매,"6,000",2076,,,,(급매)공시지가에 매매합니다/북촌리 맹지입니다
179,아파트,매매,"39,000",82,59.95,,,대림e편한세상1차아파트 매매
180,단독다가구,매매,"28,000",190.0,84.33,,,**추천매물**도남 e편한세상 2차부근  단독주택 매매
181,상가점포,임대,"1,500/1,500",146,146,,,연동 신시가지 성업중인 PC방 임대
182,오피스텔,매매,"9,000",,,,,노형동 정한오피스텔 매매
183,전원농가주택,년월세,"1,000/3,000",,192.2,33.490386110488856,126.44102763391138,내도동 프리미엄 최고급 타운하우스 - 제주 아트리움
184,토지임야,매매,"10,000",164,,,,(급매물)2차선도로 접/2종근생 건축 가능/1억
185,빌라연립다세대,매매,"17,500",77.998,71.31,33.48745444462349,126.49930066268033,연동 중앙중부근 원화빌리지 매매
186,원룸투룸쓰리룸,매매,"9,800",33.1825,22.5,,,바오젠거리인근 에코드파리 매매
187,빌라연립다세대,년월세,200/650,85,77,,,이호동 쓰리룸 년세  저렴하고 넓음
188,원룸투룸쓰리룸,년월세,500/750,,62.81,,,*이도이동 투룸 년세*
189,상가점포,임대,"2,000/2,000",66,66.00,,,노형초 맞은편 신축상가 (1층~7층)임대
190,상가점포,임대,"4,000/4,000",583,178.5,,,노형동 대도로변 신축상가 1층 54평형입니다.(분할 가능)
191,빌라연립다세대,매매,"38,000",116,70,,,아이고운힐 복층 매매
192,원룸투룸쓰리룸,매매,"14,350",39,36.36,,,노형오거리 인근 에코아바 풀 옵션 투룸
193,아파트,매매,"55,000",152,136.5,33.3248546876689,126.82802147046203,# 표선 신흥지구 다움채 복층 아파트 매매(협의가능)
194,오피스텔,매매,"27,000",105,82.96,,,★★롯데마트 인근 이타스2★★
195,전원농가주택,년월세,"1,000/1,500",,83.82,33.45426808319292,126.43145020277896,광령 미하스 타운하우스 연세
196,상가건물,매매,"300,000",462.70,991.50,,,■노형동 2종근.생 매매■
197,원룸투룸쓰리룸,년월세,300/60,53.45,40.50,33.48909077891267,126.49373901484499,연동/에그린하우스2/임대
198,토지임야,매매,"84,050",1355,,,,★★하도리 별방진인근 바다뷰토지매매 ★★
199,토지임야,매매,"9,500",512.3,,,,2차선도로접(급매)
200,단독다가구,매매,"39,500",125.6,85.95,,,노형권 해안동 신축타운빌리지
201,원룸투룸쓰리룸,년월세,500/700,66.10,66.10,,,이도초정문 (넓은투룸)
202,빌라연립다세대,매매,"55,000",111.0236,84.24,33.48078897412336,126.50266142751113,연북로 위더스빌 매매(가격절충)
203,원룸투룸쓰리룸,년월세,200/45,26,23.14,,,노형오거리 인근 에코미르
